,제품코드,ATC코드,규격,단위,상한금액,전일,급여여부
23797,647603010,,1,정,,일반,0
23798,698502200,,1,캡슐,,일반,0
23799,661904000,,1,정,,일반,0
23800,642104140,,1,매,,일반,0
23801,644602620,,1,정,,일반,0
23802,661603720,,1,캡슐,,일반,0
23803,644703730,,1,장,,전문,0
23804,644602600,,1,정,,일반,0
23805,641805110,,1,캡슐,,일반,0
23806,642104130,,1,매,,일반,0
23807,642705950,,1,정,,일반,0
23808,662800031,,20,mL/앰플,,전문,0
23809,683200011,,20,mL/앰플,,전문,0
23810,647203490,,1,캡슐,,전문,0
23811,622800420,,1,정,,일반,0
23812,653402520,,1,정,,일반,0
23813,656003210,,1,정,,일반,0
23814,643103480,,1,정,,일반,0
23815,670303370,,1,정,,일반,0
23816,642104200,,1,정,,일반,0
23817,694000400,,1,정,,일반,0
23818,661904050,,1,캡슐,,일반,0
23819,652603120,,1,정,,전문,0
23820,665506300,,1,정,,전문,0
23821,661603750,,1,캡슐,,일반,0
23822,649805510,,1,매,,일반,0
23823,698502270,,1,캡슐,,일반,0
23824,697100340,,1,정,,일반,0
23825,658104980,,1,정,,일반,0
23826,661904060,,1,정,,일반,0
23827,643306270,,1,정,,일반,0
23828,643306340,,1,정,,일반,0
23829,661904080,,1,정,,일반,0
23830,622800440,,1,정,,일반,0
23831,641105750,,1,정,,전문,0
23832,643506250,,1,정,,전문,0
23833,643506240,,1,정,,전문,0
23834,644206280,,1,캡슐,,일반,0
23835,644206290,,1,캡슐,,일반,0
23836,644206300,,1,캡슐,,일반,0
23837,661603810,,1,캡슐,,일반,0
23838,622800810,,1,정,,일반,0
23839,622801160,,1,정,,일반,0
23840,622800890,,1,정,,일반,0
23841,622800850,,1,캡슐,,일반,0
23842,653005070,,1,정,,전문,0
23843,643506220,,1,정,,전문,0
23844,643506230,,1,정,,전문,0
23845,643506310,,1,정,,전문,0
23846,643506330,,1,정,,일반,0
23847,656003270,,1,정,,일반,0
23848,642904500,,1,정,,일반,0
23849,652903310,,1,장,,전문,0
23850,641605420,,1,정,,전문,0
23851,641704350,,1,정,,전문,0
23852,647803650,,1,정,,전문,0
23853,652903320,,1,장,,전문,0
23854,641605430,,1,정,,전문,0
23855,641704360,,1,정,,전문,0
23856,642104220,,1,정,,전문,0
23857,698502250,,1,정,,일반,0
23858,643703450,,1,정,,전문,0
23859,647803640,,1,정,,전문,0
23860,653102650,,1,정,,전문,0
23861,654004100,,1,정,,전문,0
23862,657202350,,1,정,,전문,0
23863,671805240,,1,정,,전문,0
23864,648103160,,1,정,,전문,0
23865,645604080,,1,정,,전문,0
23866,645604090,,1,정,,전문,0
23867,650203830,,1,정,,전문,0
23868,657305780,,1,정,,전문,0
23869,665001640,,1,정,,전문,0
23870,655604350,,1,정,,일반,0
23871,669501300,,1,장,,전문,0
23872,670605870,,1,장,,전문,0
23873,653402500,,1,장,,전문,0
23874,645403570,,1,장,,전문,0
23875,652603010,,1,장,,전문,0
23876,644501890,,1,정,,일반,0
23877,622801230,,1,정,,일반,0
23878,642104280,,1,정,,일반,0
23879,643604960,,1,매,,일반,0
23880,622801270,,1,캡슐,,일반,0
23881,641805160,,1,장,,전문,0
23882,642104240,,1,정,,전문,0
23883,643202350,,1,정,,전문,0
23884,641805190,,1,정,,일반,0
23885,642104290,,1,정,,일반,0
23886,658105020,,1,정,,일반,0
23887,650800180,,1,매,,전문,0
23888,650800210,,1,매,,전문,0
23889,650800190,,1,매,,전문,0
23890,650800200,,1,매,,전문,0
23891,655604310,,1,정,,전문,0
23892,649806170,,1,매,,일반,0
23893,654304610,,1,캡슐,,일반,0
23894,641704460,,1,정,,일반,0
23895,641704450,,1,정,,일반,0
23896,641605490,,1,정,,일반,0
23897,661603950,,1,캡슐,,일반,0
23898,674900460,,1,정,,전문,0
23899,657305870,,1,캡슐,,일반,0
23900,622801340,,1,캡슐,,일반,0
23901,674900470,,1,정,,전문,0
23902,644703960,,1,캡슐,,일반,0
23903,654304600,,1,정,,전문,0
23904,657804960,,1,정,,전문,0
23905,646901810,,1,정,,전문,0
23906,646901820,,1,정,,전문,0
23907,644703870,,1,장,,전문,0
23908,663605410,,1,정,,전문,0
23909,661604060,,1,캡슐,,일반,0
23910,622801350,,1,정,,일반,0
23911,660702530,,1,캡슐,,일반,0
23912,670303620,,1,캡슐,,일반,0
23913,653804840,,1,캡슐,,일반,0
23914,622801400,,1,정,,일반,0
23915,641704500,,1,정,,일반,0
23916,670303610,,1,정,,일반,0
23917,641704520,,1,캡슐,,일반,0
23918,643306550,,1,정,,일반,0
23919,642403490,,1,매,,일반,0
23920,646802540,,1,캡슐,,일반,0
23921,645905370,,1,정,,전문,0
23922,644003270,,1,정,,전문,0
23923,670103370,,1,정,,일반,0
23924,650800410,,10,mL/키트,,전문,0
23925,670103380,,1,정,,일반,0
23926,642104300,,1,매,,일반,0
23927,661604080,,1,캡슐,,일반,0
23928,642203200,,1,정,,전문,0
23929,648103240,,1,정,,전문,0
23930,641605470,,1,정,,전문,0
23931,642203190,,1,정,,전문,0
23932,649102060,,1,정,,전문,0
23933,670606470,,1,정,,전문,0
23934,641605480,,1,정,,전문,0
23935,645203840,,1,정,,일반,0
23936,626500270,,1,캡슐,,일반,0
23937,626500140,,1,정,,일반,0
23938,626500160,,1,캡슐,,일반,0
23939,650302970,,1,정,,전문,0
23940,670606490,,1,정,,전문,0
23941,653402820,,1,정,,전문,0
23942,669501370,,1,정,,전문,0
23943,670606530,,1,정,,일반,0
23944,642104350,,1,캡슐,,일반,0
23945,622801480,,1,정,,일반,0
23946,641605610,,1,캡슐,,일반,0
23947,621801240,,1,정,,일반,0
23948,626500460,,1,정,,일반,0
23949,626500380,,1,정,,일반,0
23950,650800420,,1,매,,전문,0
23951,650800430,,1,매,,전문,0
23952,650800440,,1,매,,전문,0
23953,626500100,,1,캡슐,,일반,0
23954,626500090,,1,정,,일반,0
23955,661604000,,1,캡슐,,일반,0
23956,642003050,,1,매,,일반,0
23957,659900740,,1,캡슐,,일반,0
23958,643306590,,1,정,,일반,0
23959,642104360,,1,캡슐,,일반,0
23960,622801500,,1,정,,일반,0
23961,662502820,,1,정,,전문,0
23962,657306040,,1,캡슐,,일반,0
23963,653005170,,1,정,,전문,0
23964,644913580,,1,캡슐,,일반,0
23965,641704590,,1,정,,일반,0
23966,645203880,,1,캡슐,,일반,0
23967,644308610,,1,정,,전문,0
23968,644308620,,1,정,,전문,0
23969,644102300,,1,정,,전문,0
23970,650204080,,1,정,,전문,0
23971,642904840,,1,정,,일반,0
23972,643703680,,1,정,,전문,0
23973,670606640,,1,캡슐,,전문,0
23974,645601710,,1,매,,일반,0
23975,669501380,,1,장,,전문,0
23976,641105820,,1,세트,,전문,0
23977,664602100,,1,정,,일반,0
23978,664602110,,1,정,,일반,0
23979,670103470,,1,정,,일반,0
23980,644804670,,1,정,,일반,0
23981,642507050,,1,정,,전문,0
23982,641704600,,1,정,,일반,0
23983,670103480,,1,정,,일반,0
23984,653804910,,1,정,,일반,0
23985,642104370,,1,정,,일반,0
23986,661604150,,1,캡슐,,일반,0
23987,661604170,,1,캡슐,,일반,0
23988,644704170,,1,캡슐,,일반,0
23989,692900160,,1,병,,전문,0
23990,643605010,,1,정,,일반,0
23991,661604200,,1,캡슐,,일반,0
23992,647302780,,1,정,,일반,0
23993,661604210,,1,캡슐,,일반,0
